"2017-10-09 19:09:39 [main] INFO  p.k.m.ModernDockerizedLibraryApplication - Starting ModernDockerizedLibraryApplication on konrad-Lenovo-IdeaPad-Z510 with PID 11317 (/home/konrad/Develop/Projects/ModernDockerizedLibrary/target/classes started by konrad in /home/konrad/Develop/Projects/ModernDockerizedLibrary)
""2017-10-09 19:15:05 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@669daa93, org.springframework.security.web.context.SecurityContextPersistenceFilter@272c5abd, org.springframework.security.web.header.HeaderWriterFilter@1bfafce1, org.springframework.security.web.authentication.logout.LogoutFilter@7fcbc336, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@3794b7b1, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@70ad0854, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@37cc6017, org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter@1be427b4, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@39a30d1a, org.springframework.security.web.session.SessionManagementFilter@767cc126, org.springframework.security.web.access.ExceptionTranslationFilter@107ebdad, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@141234df]
""2017-10-09 19:15:07 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
""2017-10-09 19:15:07 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8080 (http)
""2017-10-09 19:15:07 [main] INFO  p.k.m.ModernDockerizedLibraryApplication - Started ModernDockerizedLibraryApplication in 10.293 seconds (JVM running for 11.328)
""2017-10-09 19:15:21 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
""2017-10-09 19:15:42 [http-nio-8080-exec-4] INFO  p.k.m.c.ShoppingCartController - New book id=3 just added to user admintest cart
""2017-10-09 19:16:18 [Thread-24] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@4a07d605: startup date [Mon Oct 09 19:14:58 CEST 2017]; root of context hierarchy
""2017-10-09 19:16:18 [Thread-24] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
""2017-10-09 19:16:18 [Thread-24] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
""2017-10-09 19:16:20 [main] INFO  p.k.m.ModernDockerizedLibraryApplication - Starting ModernDockerizedLibraryApplication on konrad-Lenovo-IdeaPad-Z510 with PID 12067 (/home/konrad/Develop/Projects/ModernDockerizedLibrary/target/classes started by konrad in /home/konrad/Develop/Projects/ModernDockerizedLibrary)
""2017-10-09 19:16:20 [main] INFO  p.k.m.ModernDockerizedLibraryApplication - No active profile set, falling back to default profiles: default
""2017-10-09 19:16:20 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6b58b9e9: startup date [Mon Oct 09 19:16:20 CEST 2017]; root of context hierarchy
""2017-10-09 19:16:23 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8080 (http)
""2017-10-09 19:16:23 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2017-10-09 19:16:23 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.16
""2017-10-09 19:16:23 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2017-10-09 19:16:23 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
""2017-10-09 19:16:23 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
""2017-10-09 19:16:23 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
""2017-10-09 19:16:23 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
""2017-10-09 19:16:23 [localhost-startStop-1] INFO  o.s.b.w.s.DelegatingFilterProxyRegistrationBean - Mapping filter: 'springSecurityFilterChain' to: [/*]
""2017-10-09 19:16:23 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
""2017-10-09 19:16:23 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Building JPA container EntityManagerFactory for persistence unit 'default'
""2017-10-09 19:16:24 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
""2017-10-09 19:16:24 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.0.12.Final}
""2017-10-09 19:16:24 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
""2017-10-09 19:16:24 [main] INFO  org.hibernate.cfg.Environment - HHH000021: Bytecode provider name : javassist
""2017-10-09 19:16:24 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
""2017-10-09 19:16:24 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
""2017-10-09 19:16:24 [main] INFO  o.h.tool.hbm2ddl.SchemaUpdate - HHH000228: Running hbm2ddl schema update
""2017-10-09 19:16:25 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2017-10-09 19:16:26 [main] INFO  o.h.h.i.QueryTranslatorFactoryInitiator - HHH000397: Using ASTQueryTranslatorFactory
""2017-10-09 19:16:26 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@857f1a7, org.springframework.security.web.context.SecurityContextPersistenceFilter@129aaac1, org.springframework.security.web.header.HeaderWriterFilter@669daa93, org.springframework.security.web.authentication.logout.LogoutFilter@11577ab8, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@27e3dc9a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3d2b13f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4a3333be, org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter@43549c6c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@682fe17b, org.springframework.security.web.session.SessionManagementFilter@670ae31f, org.springframework.security.web.access.ExceptionTranslationFilter@4942e6af, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4d84688f]
""2017-10-09 19:16:28 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
""2017-10-09 19:16:28 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8080 (http)
""2017-10-09 19:16:28 [main] INFO  p.k.m.ModernDockerizedLibraryApplication - Started ModernDockerizedLibraryApplication in 8.691 seconds (JVM running for 9.546)
""2017-10-09 19:16:42 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
""2017-10-09 19:16:59 [http-nio-8080-exec-9] INFO  p.k.m.c.ShoppingCartController - New book id=1 just added to user admintest cart
""2017-10-09 22:51:53 [Thread-21] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6b58b9e9: startup date [Mon Oct 09 19:16:20 CEST 2017]; root of context hierarchy
""2017-10-09 22:51:53 [Thread-21] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
""2017-10-09 22:51:53 [Thread-21] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
"
